model,term,Estimate,Cluster s.e.,Pr(>|t|)
all stacks,stack_orders_per_hour,-1.12916089535196,0.0283188207096137,3.0771708350853e-129
all stacks,avg_dist,1.59596056606804,0.0524176223787734,1.66708391056683e-98
all stacks,num_orders,0.635432906857026,0.033424188702553,3.49891140365397e-55
single-order only,stack_orders_per_hour,-1.55626531435359,0.0335083719890858,4.91962504701234e-148
single-order only,avg_dist,0.710632896948959,0.0447844544877284,1.11031388190946e-42
stacked-order only,stack_orders_per_hour,-0.984419099702474,0.0299769910063455,9.38673047188574e-107
stacked-order only,avg_dist,2.17307966039925,0.0640304106886811,1.93484555844693e-110
stacked-order only,num_orders,0.31780565738588,0.0157226767212896,5.83866690961097e-60
