model,term,Estimate,Cluster s.e.,Pr(>|t|)
linear,share_aiorders_day,-0.356277053260971,0.176474262986487,0.0442979204153052
quadratic,share_aiorders_day,-0.375845833167433,0.394061045442701,0.340884905044646
quadratic,I(share_aiorders_day^2),0.0246377061772738,0.443622873888381,0.955743361380659
