metric,treated_change,control_change,did
gini,0.00402269132039446,0.00940394073478129,-0.00538124941438684
theil,0.00163518572665913,0.00366523902811418,-0.00203005330145505
p90p10,0.00911973059163773,0.107919693459463,-0.0987999628678253
p75p25,0.037282913944295,0.0404605424767996,-0.0031776285325047
