sample,n_riders,n_obs,prod_mean,prod_sd,orders_mean,labor_mean,fee_mean
Matched analytic (336 riders),336,14102,4.69148745827982,1.45801971098378,27.5704864558219,5.77976004191683,82165.2569139123
All preexist (data_day),584,26280,4.62317676197747,1.37462840314012,31.0194444444445,6.65337473575173,92781.4734398776
