group,n,mean,sd,gini,theil,p90p10,p75p25
"All matched, PRE",336,4.68626907463863,1.08627158673621,0.129698533069411,0.0269457053430432,1.83339004876258,1.34255665585963
"All matched, POST",336,4.65471472162931,1.14799346590084,0.136711266043087,0.0296869012842561,1.89802338456412,1.36739444273103
"Treated, PRE",168,4.63329441415962,1.02838076331486,0.123232239838676,0.02445870920028,1.77104119536049,1.29666790856539
"Treated, POST",168,4.58038790636091,1.06574525959245,0.127254931159071,0.0260938949269391,1.78016092595212,1.33395082250969
"Control, PRE",168,4.73924373511765,1.14185133545169,0.135281584796115,0.0292507429144144,1.88345132512759,1.36652348314215
"Control, POST",168,4.72904153689772,1.22341386117873,0.144685525530896,0.0329159819425286,1.99137101858705,1.40698402561895
