var,mean_matched,mean_other,diff,t,p_value
orders_per_hour,4.69148745827982,4.54407367121907,0.147413787060755,8.77051973994711,1.88395093318027e-18
total_orders,27.5704864558219,35.0133026769585,-7.44281622113658,-31.6705194639336,4.95608681654046e-216
total_labor,5.77976004191683,7.6650116558092,-1.88525161389237,-46.6213219186312,0
total_fee,82165.2569139123,105074.944079487,-22909.6871655747,-32.9662520857962,1.61914269775292e-233
