spec,est
DID full,0.14059971445682
DID stable,0.163974542112644
DDD low full,0.0883833128326064
DDD low stable,0.0834305144645303
DDD med full,0.249299477027857
DDD med stable,0.282260930473731
DDD high full,0.0670916854714016
DDD high stable,0.10437011056584
